dataset,model,participant,n_recordings,n_chunks,folds,BWMD,SRE,WCR,EDD,s_BWMD,s_SRE,s_WCR,s_EDD,RPFI,RPFI_alt_agg,RMSE,PSNR_dB,SNR_ref_dB,g_SNR,cri,si,CCC,Spearman,HR_label_bpm,HR_pred_bpm,HR_MAE_bpm,PRV_sdnn_label_ms,PRV_sdnn_pred_ms,PRV_rmssd_label_ms,PRV_rmssd_pred_ms,PRV_n_rr_label,PRV_n_rr_pred
cohface,bilstm,cohface_1,4,24,3,0.8661969224215559,1.3503644246459803,0.08355604093479754,0.8806899660728128,0.04000386989163918,0.7749392625590033,0.08355604093479754,0.1193100339271872,11.23085667389841,21.591783254516912,1.3503644246459803,9.52970492037968,6.820234424397762,1.0,0.02145236809010005,0.0002801891060617723,0.08825796032526553,0.07650316184909556,84.25000000000001,64.0,20.250000000000007,76.85986732078152,159.75874149371884,80.10232364020237,190.18720033475225,317,246
cohface,bilstm,cohface_10,4,24,2,0.838261531245117,1.4148575959233565,0.00031376658591699216,0.888282671558234,0.07098655456743386,0.7641904006794406,0.00031376658591699216,0.11171732844176596,2.4580983816173174,19.657164217024654,1.4148575959233565,11.046280526748324,6.530714273726059,1.0,0.028450837522032982,0.00020977070201172395,-0.000911008371010135,0.002150929021307683,83.0,62.0,21.000000000000004,63.71496967407452,155.862319539305,58.2643702626679,199.16684260353313,309,242
cohface,bilstm,cohface_11,2,12,0,0.48721282120767806,1.2477347055122825,0.23490296402922212,0.8366215899010264,0.4603289274821123,0.7920442157479529,0.23490296402922212,0.16337841009897358,34.085984927868125,39.96540926227856,1.2477347055122825,15.045429411351268,6.901758286702439,1.0,0.019806141768338982,0.0003039808839152193,0.22157905233008876,0.25488883157792214,66.5,63.0,3.5000000000000013,100.94764483258228,162.50709781591445,98.49789267992142,199.29833814211023,121,128
cohface,bilstm,cohface_12,3,19,2,0.7319318967089147,1.244519353204014,0.23857468102777912,0.8736775178532766,0.18891501018563128,0.792580107799331,0.23857468102777912,0.12632248214672337,24.904166380781305,31.202742535323402,1.244519353204014,14.194122930702628,6.556069537929629,1.0,0.02775830009716999,0.0002151563377931564,0.22558578975033128,0.25805801794395083,54.31578947368421,62.8421052631579,8.526315789473685,264.2085307432085,160.5626474783924,269.25824035672525,185.10268982472084,216,192
cohface,bilstm,cohface_13,4,24,4,0.47393176176475915,1.3960513910606631,0.02745970015543015,0.8970271086143531,0.47505873292072365,0.7673247681565561,0.02745970015543015,0.10297289138564691,16.374700069322543,32.48150618312868,1.3960513910606631,14.273379375739637,5.660207027418583,1.0,0.0653626848987732,8.784990485725971e-05,0.025520256758793734,0.030368865250384774,66.5,60.0,7.000000000000003,87.52782664453231,166.8639960416114,96.6942386326784,179.93211389537925,247,245
cohface,bilstm,cohface_14,2,12,2,0.8497445672088793,1.228289534402027,0.25663248604954947,0.8665425177286298,0.05825090751173334,0.7952850775996622,0.25663248604954947,0.13345748227137022,18.094952619245554,28.02135300425913,1.228289534402027,15.347863670574746,7.413557437406734,1.0,0.011967068566377366,0.0005070252684604671,0.24565240983922584,0.2731026003650348,83.0,65.0,18.00000000000001,69.86402182092215,158.9925235357011,79.00240066190922,198.67143474352554,157,130
cohface,bilstm,cohface_15,4,24,4,0.8344402339055145,1.3882632605693066,0.03895088103752528,0.9034867312734587,0.0752246928407656,0.7686227899051156,0.03895088103752528,0.09651326872654131,10.33054821422635,20.727988388981867,1.3882632605693066,10.318978526426346,6.61978603325676,1.0,0.02608951124373046,0.00022930827026448834,0.03636255967673881,0.042833363078704986,83.00000000000001,61.75,21.25000000000001,64.89267439419609,183.33593563917745,72.35806959621185,209.99693437369967,321,257
cohface,bilstm,cohface_16,4,24,1,0.6476424645319859,1.2916304457897643,0.16847494383148703,0.9374332769232688,0.28239903846163983,0.7847282590350393,0.16847494383148703,0.06256672307673117,21.949877485196307,30.472119111029215,1.2916304457897643,11.842532057739287,5.360624527999207,1.0,0.08622497507460755,6.510946786642197e-05,0.16584539575446725,0.17241926594701673,57.5,67.5,11.0,119.75309343520948,165.56186724573544,115.90604180246945,206.55413104921908,214,267
cohface,bilstm,cohface_17,2,12,4,0.852042174987745,1.0818737304262063,0.4253550747175612,0.8026895797086856,0.055702668366928054,0.8196877115956323,0.4253550747175612,0.1973104202913144,22.602057465372134,34.77169493027361,1.0818737304262063,13.055845046356305,6.304412445890647,1.0,0.03542012624800257,0.00016729449380812356,0.4147746157068424,0.44122576323363943,58.5,59.5,4.0,193.282474758559,173.64315102427096,254.44532662720331,202.5696985203381,177,128
cohface,bilstm,cohface_18,4,24,3,0.7170198419234964,1.3613710754911414,0.07558813226372947,0.8589455515415884,0.20545372583728327,0.7731048207514765,0.07558813226372947,0.14105444845841164,18.402436356562994,26.714441127228145,1.3613710754911414,13.278956583821246,5.585519792494887,1.0,0.07007617611018925,8.152818746746773e-05,0.07333439740804638,0.0789687345472541,77.75,62.0,15.75,52.82297223756275,159.22837370971237,66.85141710623621,197.23423965295635,283,247
