dataset,model,participant,n_recordings,n_chunks,folds,BWMD,SRE,WCR,EDD,s_BWMD,s_SRE,s_WCR,s_EDD,RPFI,RPFI_alt_agg,RMSE,PSNR_dB,SNR_ref_dB,g_SNR,cri,si,CCC,Spearman,HR_label_bpm,HR_pred_bpm,HR_MAE_bpm,PRV_sdnn_label_ms,PRV_sdnn_pred_ms,PRV_rmssd_label_ms,PRV_rmssd_pred_ms,PRV_n_rr_label,PRV_n_rr_pred
pure,bilstm,pure_01,6,40,2,0.36552561264387523,0.8223023996996074,0.6615852845319776,0.7460398623328727,0.5952902168443253,0.8629496000500654,0.6615852845319776,0.25396013766712733,55.81418296888361,60.044459795632946,0.8223023996996074,10.004230865111335,9.430572905024944,1.0,0.0016089344760092943,0.0037981829058213027,0.6619093817241335,0.6610991387437439,73.4765625,70.3125,3.8671875,78.69988627509169,163.9884674413799,73.69045544981299,180.9411231441171,448,463
pure,bilstm,pure_02,6,38,3,0.33119400809736466,0.6881167711632034,0.7645865188079585,0.8169926120912938,0.6333668369768454,0.8853138714727995,0.7645865188079585,0.1830073879087062,55.90334117562718,63.30502586117424,0.6881167711632034,12.014163819623525,10.237538462775964,1.0,0.0007185629206922998,0.00847215995924355,0.7632476546219638,0.7665948150869506,72.53289473684211,71.42269736842105,1.480263157894737,72.75656846678935,151.5489421125279,54.45926886960533,169.50654953249472,428,450
pure,bilstm,pure_03,6,38,0,0.7296467512436342,0.763287000451549,0.7138745501022713,0.7493737884265116,0.19144942758261485,0.8727854999247419,0.7138745501022713,0.2506262115734884,40.61529330664466,49.62795356051119,0.763287000451549,11.678208832812105,7.003999648318688,1.0,0.017915701375369165,0.0003366936464553393,0.7086964774708384,0.7216416590494207,56.25,56.620065789473685,1.1101973684210527,196.04758103833953,255.7787078932181,233.78284410479156,276.89256747230024,546,431
pure,bilstm,pure_04,6,38,4,0.6751900161514447,0.837629692841706,0.6546637640512057,0.7900732723134627,0.25184650028434297,0.860395051193049,0.6546637640512057,0.2099267276865373,41.352273826360445,48.60174350765819,0.837629692841706,12.370791411898844,9.937828275570388,1.0,0.0009694339827137631,0.006291954303163041,0.6491882488349545,0.6628770368755826,65.68667763157895,65.31661184210526,1.1101973684210527,212.47907785910232,171.95929125195747,220.25095789595406,179.25216814045737,499,417
pure,bilstm,pure_05,6,38,1,0.7558858640178822,3.033537412335762,0.49240864124390843,0.7290531362238183,0.16234805749180314,0.49441043127737305,0.49240864124390843,0.2709468637761817,31.349179561415674,34.94984686314244,1.011179137445254,10.839708029584505,-0.571614056501973,3.0,0.9726581464776495,1.7271651480833173e-07,0.488758375997736,0.4978840391131671,53.65953947368421,57.360197368421055,7.401315789473684,170.63632015964282,226.03096312269042,258.34117807427145,276.33652146439164,552,439
pure,bilstm,pure_06,5,32,0,0.4904362488195887,0.8581995435601211,0.6359752406441869,0.8017210144939664,0.4567538767285969,0.8569667427399799,0.6359752406441869,0.19827898550603362,48.41554962062608,53.88678808610378,0.8581995435601211,9.007621758631872,9.70238542456923,1.0,0.0012264730711288472,0.0049786046665864555,0.6317467717165995,0.642317944035568,68.3349609375,67.236328125,1.5380859375,71.1936879187403,175.536977137702,63.40454748277811,187.69224029008703,341,375
pure,bilstm,pure_07,6,39,1,0.8898048444387868,1.2721418814486805,0.1846991315028572,0.821704828579334,0.013820710361461375,0.7879763530918866,0.1846991315028572,0.17829517142066598,11.26235257206196,25.281025746180607,1.2721418814486805,7.243307216663338,10.32924612099228,1.0,0.0006556378536169655,0.009278313311015899,0.19082751673210585,0.1755065536589842,128.90625,71.7548076923077,57.15144230769231,51.18303645042255,218.05477581690292,68.42440822964464,229.2132342154929,783,527
pure,bilstm,pure_08,6,38,3,0.6396404570222194,2.3669471418722967,0.6941565973048598,0.7190837233460179,0.291273933890258,0.6055088096879506,0.6941565973048598,0.2809162766539821,43.43773755274527,47.29141766269219,0.7889823806240989,12.766050422463447,-0.682273937017147,3.0,0.9754520806534012,1.5462328592849184e-07,0.6887534015323646,0.7022613909636027,53.844572368421055,53.844572368421055,2.2203947368421053,230.61894719602955,229.75234814094551,286.24319129584006,302.3049382542591,487,491
pure,bilstm,pure_09,6,39,4,0.6683191727008072,2.517534137727794,0.6487442178243372,0.7148222177549156,0.25946684018734734,0.5804109770453676,0.6487442178243372,0.2851777822450844,40.889977338165494,44.558106926159574,0.8391780459092647,12.816154150114489,-3.7631183396743415,3.0,0.9988457139820092,7.10037422334526e-09,0.6478901036319544,0.6500253891129113,55.16826923076923,60.21634615384615,7.572115384615385,213.64977059979051,243.46915148078264,292.97124654176645,303.96364263175406,509,505
pure,bilstm,pure_10,6,38,2,0.2878351304029745,0.6874290681026246,0.7676323184697785,0.6997044986972234,0.68145545785983,0.8854284886495626,0.7676323184697785,0.3002955013027766,63.17098969587812,67.18711308893504,0.6874290681026246,13.00312275580862,8.722217661996094,1.0,0.003261771700327974,0.001874041149369969,0.7637206381637784,0.7734998389287786,79.56414473684211,77.89884868421052,2.4054276315789473,91.59639351810553,130.222637017402,53.97918963594133,139.8356491211939,467,469
